iter	Passed	Remaining
0	229	229163
1	235	117280
2	239	79756
3	243	60546
4	245	48939
5	248	41153
6	250	35486
7	252	31275
8	253	27940
9	255	25253
10	256	23075
11	257	21241
12	259	19689
13	260	18355
14	261	17197
15	263	16181
16	264	15283
17	265	14484
18	266	13767
19	267	13130
20	269	12552
21	270	12020
22	271	11534
23	272	11095
24	274	10689
25	275	10310
26	276	9957
27	277	9627
28	278	9321
29	279	9039
30	280	8772
31	281	8525
32	282	8289
33	284	8069
34	285	7862
35	286	7665
36	287	7478
37	288	7301
38	289	7130
39	290	6968
40	291	6814
41	292	6671
42	293	6536
43	294	6406
44	295	6279
45	296	6156
46	297	6039
47	298	5926
48	300	5825
49	301	5728
50	302	5630
51	304	5543
52	305	5457
53	306	5368
54	307	5281
55	308	5199
56	309	5118
57	310	5044
58	311	4972
59	312	4902
60	313	4833
61	314	4765
62	315	4699
63	316	4636
64	318	4579
65	319	4522
66	320	4466
67	321	4407
68	322	4355
69	323	4302
70	324	4249
71	325	4200
72	326	4150
73	327	4100
74	328	4054
75	329	4009
76	330	3965
77	331	3922
78	332	3880
79	333	3840
80	335	3800
81	335	3761
82	337	3725
83	338	3688
84	339	3649
85	339	3613
86	340	3575
87	341	3541
88	342	3509
89	343	3477
90	344	3445
91	345	3414
92	347	3384
93	348	3354
94	349	3326
95	350	3298
96	351	3270
97	352	3244
98	353	3218
99	354	3191
100	355	3165
101	356	3136
102	357	3110
103	358	3086
104	359	3064
105	360	3043
106	361	3020
107	362	2997
108	363	2975
109	364	2953
110	366	2932
111	367	2912
112	368	2892
113	369	2871
114	370	2851
115	371	2830
116	372	2811
117	373	2792
118	374	2772
119	375	2754
120	376	2736
121	377	2718
122	378	2697
123	379	2680
124	380	2662
125	381	2647
126	382	2631
127	383	2613
128	384	2597
129	385	2582
130	386	2566
131	387	2550
132	388	2535
133	389	2520
134	390	2505
135	392	2491
136	393	2476
137	393	2460
138	394	2446
139	396	2433
140	397	2420
141	398	2406
142	399	2392
143	400	2379
144	401	2367
145	402	2355
146	403	2343
147	404	2331
148	406	2319
149	407	2307
150	408	2295
151	409	2283
152	410	2272
153	411	2260
154	412	2249
155	413	2237
156	414	2226
157	415	2216
158	416	2205
159	418	2194
160	419	2184
161	420	2173
162	421	2163
163	422	2153
164	423	2144
165	424	2135
166	426	2125
167	427	2116
168	428	2106
169	429	2097
170	430	2088
171	431	2079
172	433	2070
173	434	2060
174	435	2051
175	436	2043
176	437	2034
177	438	2025
